Tipo;Bairro;Quartos;Vagas;Suites;Area;Condominio;Valor Bruto;Tipos agregado
Quitinete;Copacabana;1;0;0;40;500.0;2260.0;Apartamento
Casa;Jardim Botânico;2;0;1;100;;;casa
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;4020.0;10331.0;Apartamento
Apartamento;Centro;1;0;0;15;390.0;1210.0;Apartamento
Apartamento;Higienópolis;1;0;0;48;230.0;;Apartamento
Apartamento;Vista Alegre;3;1;0;70;;;Apartamento
Apartamento;Cachambi;2;0;0;50;301.0;1618.0;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;;;casa
Casa de Condomínio;Ramos;2;2;0;65;;;casa
Conjunto Comercial/Sala;Centro;0;3;0;695;19193.0;57223.0;Apartamento
Apartamento;Centro;1;0;0;36;;;Apartamento
Apartamento;Grajaú;2;1;0;70;642.0;2216.0;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;455.0;1969.0;Apartamento
Apartamento;Copacabana;1;0;1;40;561.0;2611.0;Apartamento
Quitinete;Copacabana;1;0;0;27;501.0;;Apartamento
Apartamento;Copacabana;4;3;1;243;2000.0;15803.0;Apartamento
Prédio Inteiro;Botafogo;0;0;0;536;;;Apartamento
Flat;Botafogo;3;1;1;80;1040.0;;Apartamento
Casa de Condomínio;Taquara;3;1;1;115;;;casa
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;300.0;1278.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;589.0;2436.0;Apartamento
Apartamento;Tijuca;2;1;0;110;700.0;2738.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;2695.0;;casa
Apartamento;Olaria;3;1;0;68;670.0;;Apartamento
Apartamento;Tijuca;2;1;0;78;700.0;;Apartamento
Flat;Leblon;1;0;0;56;1900.0;7900.0;Apartamento
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;600.0;;Apartamento
Apartamento;Ipanema;3;1;1;125;2100.0;9563.0;Apartamento
Apartamento;Tijuca;1;0;0;48;772.0;1547.0;Apartamento
Loja/Salão;Campo Grande;0;1;0;35;950.0;;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;1500.0;6200.0;Apartamento
Casa;Campo Grande;4;1;2;400;;;casa
Apartamento;Botafogo;2;1;0;76;740.0;;Apartamento
Apartamento;Copacabana;3;1;2;378;2150.0;12850.0;Apartamento
Apartamento;Copacabana;3;0;0;180;1780.0;7700.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;648.0;;Apartamento
Apartamento;Leblon;3;1;0;110;1500.0;5520.0;Apartamento
Conjunto Comercial/Sala;Centro;0;5;0;1306;19486.0;;Apartamento
Quitinete;Copacabana;1;0;0;27;380.0;1733.0;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;1780.0;5776.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1095.0;3035.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;250.0;;Apartamento
Apartamento;Copacabana;4;1;0;244;2500.0;11600.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;2000.0;6950.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;460;4797.0;14316.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;1170;23409.0;169717.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;1340.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;380.0;;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;600.0;3020.0;Apartamento
Apartamento;Humaitá;2;2;1;180;2500.0;6800.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;840.0;3340.0;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;70;1080.0;3231.0;Apartamento
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;1160.0;5360.0;Apartamento
Apartamento;Centro;1;0;0;27;371.0;1140.0;Apartamento
Apartamento;Ipanema;1;0;0;35;650.0;2725.0;Apartamento
Apartamento;Ipanema;1;0;0;38;530.0;2007.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1160.0;2917.0;Apartamento
Loja/Salão;Copacabana;0;0;0;34;735.0;;Apartamento
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;1600.0;;casa
Apartamento;Barra da Tijuca;4;3;3;153;2300.0;9234.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1546.0;;Apartamento
Apartamento;Península;4;3;4;267;3100.0;21500.0;Apartamento
Apartamento;Ipanema;3;1;0;87;1305.0;4722.0;Apartamento
Apartamento;Méier;3;1;0;90;844.0;2474.0;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;385.0;1813.0;Apartamento
Apartamento;Botafogo;3;1;1;108;1405.0;7644.0;Apartamento
Apartamento;Maracanã;2;0;0;86;600.0;2482.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;675.0;2725.0;Apartamento
Conjunto Comercial/Sala;Méier;0;0;0;32;380.0;1136.0;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;556.0;2554.0;Apartamento
Apartamento;Ipanema;3;2;1;150;2400.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;1;2050.0;;Apartamento
Apartamento;Ipanema;3;1;1;140;2900.0;11300.0;Apartamento
Casa;Méier;2;0;0;51;50.0;;casa
Apartamento;Jardim Botânico;2;2;0;95;1170.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;970.0;;Apartamento
Apartamento;Cachambi;2;0;0;60;380.0;1660.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;1010.0;1766.0;Apartamento
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;24;682.0;3294.0;Apartamento
Galpão/Depósito/Armazém;Vargem Grande;0;6;0;2236;;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;719.0;;Apartamento
Casa;São Conrado;4;2;4;730;2000.0;42000.0;casa
Casa Comercial;Botafogo;0;0;0;140;;;Apartamento
Galpão/Depósito/Armazém;Maria da Graça;0;3;0;1000;;;Apartamento
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;1200.0;;casa
Conjunto Comercial/Sala;Centro;0;1;0;390;12090.0;38805.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;320;3740.0;17281.0;Apartamento
Apartamento;Leblon;2;1;1;80;990.0;4735.0;Apartamento
Apartamento;Barra da Tijuca;4;4;4;240;4400.0;18540.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;1364.0;4370.0;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;280.0;1094.0;Apartamento
Apartamento;Gávea;2;1;0;70;680.0;3578.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;1300.0;6042.0;Apartamento
Apartamento;Centro;1;1;0;37;540.0;2540.0;Apartamento
Apartamento;Cosme Velho;3;4;0;130;1407.0;7153.0;Apartamento
Apartamento;Bonsucesso;2;1;0;77;740.0;;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;1400.0;4090.0;Apartamento
Apartamento;Todos os Santos;3;1;1;78;630.0;2153.0;Apartamento
Apartamento;Laranjeiras;2;1;0;54;582.0;;Apartamento
Quitinete;Centro;0;0;0;30;505.0;;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;780.0;;Apartamento
Apartamento;Ipanema;3;1;1;120;1800.0;9170.0;Apartamento
Loja/Salão;Barra da Tijuca;0;0;0;36;2114.0;8253.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;1300.0;4188.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;95;1688.0;5880.0;Apartamento
Apartamento;Itanhangá;2;1;0;60;450.0;1600.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;1700.0;4235.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;310;5950.0;24917.0;Apartamento
Apartamento;Humaitá;2;1;0;86;1259.0;5447.0;Apartamento
Quitinete;Flamengo;0;0;0;28;581.0;1634.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;870.0;2713.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;145;6400.0;;Apartamento
Apartamento;Praça Seca;2;0;0;80;;;Apartamento
Apartamento;Tijuca;2;1;0;80;1100.0;2984.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;142;5024.0;21439.0;Apartamento
Conjunto Comercial/Sala;Botafogo;0;3;0;241;9384.0;;Apartamento
Casa de Vila;Piedade;2;1;0;70;;;casa
Apartamento;Tijuca;3;1;0;172;780.0;3650.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2535.0;9235.0;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;10;0;13010;;;Apartamento
Apartamento;Ipanema;3;1;1;145;14768.0;27162.0;Apartamento
Apartamento;Olaria;2;1;0;53;160.0;;Apartamento
Quitinete;Copacabana;1;0;0;29;460.0;;Apartamento
Apartamento;Botafogo;2;1;1;83;560.0;3498.0;Apartamento
Apartamento;Botafogo;2;1;1;80;1178.0;5665.0;Apartamento
Apartamento;Lagoa;3;1;2;250;2500.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;40;637.0;2221.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;48;729.0;2286.0;Apartamento
Conjunto Comercial/Sala;Santo Cristo;0;64;0;4800;92000.0;;Apartamento
Conjunto Comercial/Sala;Largo do Machado;0;0;0;30;592.0;1554.0;Apartamento
Apartamento;Leblon;3;2;1;147;1028.0;8775.0;Apartamento
Apartamento;Copacabana;2;1;0;67;950.0;4610.0;Apartamento
Apartamento;Ipanema;3;1;1;150;1616.0;30871.0;Apartamento
Apartamento;Barra da Tijuca;4;3;2;220;3911.0;12127.0;Apartamento
Apartamento;Catete;2;0;0;77;1130.0;3670.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;55;1240.0;2380.0;Apartamento
Apartamento;Jardim Carioca;2;1;0;55;430.0;1827.0;Apartamento
Casa;Maracanã;8;3;5;259;;;casa
Apartamento;Leblon;3;1;0;85;800.0;5911.0;Apartamento
Apartamento;Catete;2;0;0;75;455.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;880.0;2224.0;Apartamento
Casa;Benfica;1;0;0;33;;;casa
Quitinete;Glória;1;0;0;16;300.0;1910.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;212;4700.0;19050.0;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;450.0;1465.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;20;791.0;2277.0;Apartamento
Apartamento;Praça Seca;2;0;0;80;350.0;;Apartamento
Apartamento;Vila Isabel;1;0;0;37;285.0;1309.0;Apartamento
Galpão/Depósito/Armazém;Quintino Bocaiúva;0;0;0;550;;;Apartamento
Conjunto Comercial/Sala;Campo Grande;0;0;0;20;;;Apartamento
Conjunto Comercial/Sala;São Francisco Xavier;0;1;0;27;580.0;;Apartamento
Apartamento;Copacabana;3;0;0;150;1780.0;7700.0;Apartamento
Apartamento;Lagoa;3;1;1;127;1540.0;6910.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;652.0;2456.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;935.0;2452.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;28;550.0;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;1100.0;3050.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;1384.0;4708.0;Apartamento
Terreno Padrão;Barra da Tijuca;0;0;0;1110;;;Apartamento
Apartamento;Gávea;3;1;1;160;2000.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;154;5100.0;9559.0;Apartamento
Apartamento;Copacabana;3;1;1;200;1800.0;8420.0;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;666.0;2272.0;Apartamento
Apartamento;Botafogo;3;1;1;100;1300.0;7020.0;Apartamento
Apartamento;Barra da Tijuca;4;2;3;320;2700.0;9000.0;Apartamento
Apartamento;Rocha Miranda;2;1;0;50;;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1040.0;2152.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;21;588.0;;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;600.0;1185.0;Apartamento
Apartamento;Ipanema;2;0;2;52;3689.0;14082.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;48;1064.0;;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;120;1400.0;6900.0;Apartamento
Apartamento;Leblon;4;4;4;380;4700.0;46200.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;35;322.0;1355.0;Apartamento
Conjunto Comercial/Sala;Tijuca;0;1;0;20;690.0;1748.0;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;50;1172.0;6999.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;104;740.0;3198.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;120;1380.0;4889.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;1700.0;4537.0;Apartamento
Apartamento;Taquara;2;1;0;75;330.0;1605.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;8;0;380;5276.0;25127.0;Apartamento
Apartamento;Botafogo;4;1;1;190;1720.0;7570.0;Apartamento
Quitinete;Catete;0;0;0;20;500.0;1228.0;Apartamento
Apartamento;Ipanema;4;6;1;700;8860.0;79559.0;Apartamento
Apartamento;Méier;2;0;0;56;402.0;1436.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;270;2800.0;11049.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;600.0;1854.0;Apartamento
Apartamento;Lagoa;3;1;2;105;1100.0;4981.0;Apartamento
Apartamento;Copacabana;3;1;1;500;2580.0;17946.0;Apartamento
Apartamento;Tijuca;3;0;0;87;650.0;2350.0;Apartamento
Apartamento;Botafogo;1;0;0;35;470.0;2020.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;628.0;2448.0;Apartamento
Conjunto Comercial/Sala;Tijuca;0;0;0;21;520.0;1636.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;65;;;Apartamento
Apartamento;Ipanema;3;3;1;220;4000.0;27200.0;Apartamento
Apartamento;Copacabana;3;0;0;100;850.0;4240.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;93;1100.0;;Apartamento
Apartamento;Engenho Novo;2;2;0;78;915.0;1770.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;85;1573.0;4270.0;Apartamento
Apartamento;Leblon;2;1;1;115;980.0;8750.0;Apartamento
Apartamento;Botafogo;2;1;1;70;1133.0;4980.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;650.0;;Apartamento
Apartamento;Barra da Tijuca;4;4;4;392;7000.0;40000.0;Apartamento
Casa Comercial;Botafogo;0;0;0;220;;;Apartamento
Apartamento;Campo Grande;2;0;0;60;570.0;;Apartamento
Apartamento;Flamengo;1;0;0;40;430.0;2384.0;Apartamento
Box/Garagem;Tijuca;0;0;0;0;;;Apartamento
Apartamento;Engenho de Dentro;3;1;1;61;498.0;;Apartamento
Apartamento;Copacabana;3;2;1;250;1500.0;8934.0;Apartamento
Flat;Copacabana;1;1;0;63;1215.0;;Apartamento
Flat;Leblon;1;0;1;50;1300.0;5950.0;Apartamento
Apartamento;Ipanema;3;2;1;200;1500.0;17072.0;Apartamento
Apartamento;Copacabana;3;1;0;140;1347.0;;Apartamento
Loja/Salão;Maracanã;0;0;0;85;;;Apartamento
Apartamento;Copacabana;2;0;0;50;750.0;4010.0;Apartamento
Casa;Jardim Carioca;3;2;1;135;;;casa
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;58;495.0;2735.0;Apartamento
Apartamento;Tijuca;3;1;1;78;730.0;3408.0;Apartamento
Conjunto Comercial/Sala;Copacabana;0;2;0;210;6300.0;33390.0;Apartamento
Quitinete;Centro;0;0;0;28;400.0;1116.0;Apartamento
Apartamento;Lagoa;3;1;1;75;1250.0;5559.0;Apartamento
Conjunto Comercial/Sala;Tijuca;0;1;0;32;450.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;102;882.0;;Apartamento
Apartamento;Tijuca;1;0;0;65;320.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;0;60;1266.0;2999.0;Apartamento
Apartamento;Copacabana;4;1;2;210;2200.0;15850.0;Apartamento
Apartamento;Maracanã;3;2;3;158;1265.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;83;1548.0;3808.0;Apartamento
Apartamento;Laranjeiras;5;2;1;400;3000.0;;Apartamento
Apartamento;Barra da Tijuca;3;1;1;84;1103.0;3215.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;850.0;2615.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;530.0;1350.0;Apartamento
Apartamento;São Conrado;4;4;4;510;6600.0;;Apartamento
Apartamento;Tijuca;3;0;0;75;350.0;;Apartamento
Apartamento;Ipanema;3;1;1;126;1400.0;8900.0;Apartamento
Casa;Lins de Vasconcelos;2;0;0;40;;;casa
Apartamento;Leblon;4;2;2;250;4990.0;23110.0;Apartamento
Conjunto Comercial/Sala;Botafogo;0;8;0;463;11843.0;118798.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;190;886.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;185;10046.0;13508.0;Apartamento
Conjunto Comercial/Sala;Centro;0;4;0;230;3130.0;11332.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;55;1420.0;;Apartamento
Apartamento;Copacabana;4;2;2;436;3900.0;21900.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;80;560.0;;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;1800.0;;Apartamento
Apartamento;Tijuca;2;1;1;71;600.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1200.0;3221.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;2;4;595;2500.0;35010.0;casa
Apartamento;Leblon;3;1;0;87;970.0;5043.0;Apartamento
Loja/Salão;Copacabana;0;0;0;13;520.0;2115.0;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;95;1800.0;17800.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;150;2000.0;6700.0;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;700.0;10508.0;casa
Apartamento;Laranjeiras;4;1;2;288;1870.0;9452.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;25;450.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;1;102;688.0;;Apartamento
Apartamento;Leblon;2;1;0;70;1100.0;5500.0;Apartamento
Apartamento;Cidade Nova;1;0;0;46;;;Apartamento
Apartamento;Pilares;3;0;0;65;350.0;1566.0;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;50;1338.0;;Apartamento
Apartamento;Barra da Tijuca;3;3;2;169;1886.0;8836.0;Apartamento
Quitinete;Copacabana;1;0;0;23;562.0;;Apartamento
Apartamento;Laranjeiras;3;1;1;90;1311.0;;Apartamento
Apartamento;Tijuca;2;0;0;50;347.0;2172.0;Apartamento
Apartamento;Olaria;1;0;0;39;;;Apartamento
Apartamento;Ipanema;3;1;1;140;1800.0;8806.0;Apartamento
Apartamento;Campo Grande;2;0;0;60;380.0;;Apartamento
Apartamento;Ipanema;4;1;1;170;1210.0;17432.0;Apartamento
Casa;Tijuca;4;1;1;191;300.0;;casa
Apartamento;Centro;1;0;0;35;420.0;1794.0;Apartamento
Apartamento;Tijuca;2;0;0;63;440.0;1901.0;Apartamento
Casa de Condomínio;São Conrado;3;2;1;250;750.0;6750.0;casa
Apartamento;Copacabana;3;1;0;112;1123.0;5209.0;Apartamento
Loja/Salão;Barra da Tijuca;0;8;0;500;;;Apartamento
Apartamento;Leblon;3;0;1;85;;;Apartamento
Apartamento;Tijuca;3;1;0;129;850.0;2766.0;Apartamento
Apartamento;Barra da Tijuca;4;3;3;160;2300.0;11150.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;100;1500.0;4790.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1300.0;;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;650.0;2545.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;60;1600.0;4150.0;Apartamento
Conjunto Comercial/Sala;Cidade Nova;0;20;0;2160;60480.0;;Apartamento
Apartamento;Taquara;2;2;0;55;350.0;;Apartamento
Quitinete;Centro;1;0;0;33;463.0;1478.0;Apartamento
Apartamento;Copacabana;2;0;0;54;590.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;10;0;1136;22728.0;164780.0;Apartamento
Casa Comercial;Glória;0;0;0;139;1953.0;18832.0;Apartamento
Flat;Arpoador;1;1;1;55;1865.0;5202.0;Apartamento
Apartamento;Catete;2;1;1;70;1365.0;4845.0;Apartamento
Apartamento;Copacabana;5;1;3;390;1000.0;12000.0;Apartamento
Apartamento;Maracanã;2;1;0;53;492.0;1808.0;Apartamento
Apartamento;Tomás Coelho;2;0;0;70;;;Apartamento
Apartamento;Botafogo;1;0;0;35;293.0;1379.0;Apartamento
Apartamento;Tijuca;3;1;0;164;1310.0;5067.0;Apartamento
Apartamento;Jacarepaguá;2;1;1;60;524.0;1737.0;Apartamento
Apartamento;Água Santa;2;1;0;50;280.0;1142.0;Apartamento
Apartamento;Botafogo;2;1;1;79;1110.0;5612.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;615.0;2218.0;Apartamento
Apartamento;Tijuca;1;0;0;36;295.0;1619.0;Apartamento
Apartamento;Jardim Oceânico;4;4;3;190;1069.0;7577.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;900.0;;Apartamento
Apartamento;São Cristóvão;2;0;0;50;600.0;;Apartamento
Quitinete;Copacabana;1;0;0;26;370.0;1791.0;Apartamento
Loja/Salão;Recreio dos Bandeirantes;0;2;0;140;1410.0;6368.0;Apartamento
Prédio Inteiro;Campo Grande;0;0;0;650;;;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;4;1000;2695.0;56410.0;casa
Conjunto Comercial/Sala;Centro;0;0;0;120;1380.0;4887.0;Apartamento
Apartamento;Ilha do Governador;3;1;0;83;440.0;2072.0;Apartamento
Apartamento;Olaria;2;0;0;90;150.0;;Apartamento
Apartamento;Humaitá;1;0;0;57;860.0;4950.0;Apartamento
Apartamento;Maracanã;3;1;0;95;600.0;3180.0;Apartamento
Casa de Vila;Jardim Sulacap;2;1;2;115;1.0;1661.0;casa
Apartamento;Leblon;4;2;2;200;2900.0;14480.0;Apartamento
Loja/Salão;Del Castilho;0;0;0;85;;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;824.0;;Apartamento
Apartamento;Gávea;2;1;1;100;1300.0;5520.0;Apartamento
Apartamento;Ipanema;3;2;1;165;2200.0;10232.0;Apartamento
Galpão/Depósito/Armazém;Santo Cristo;0;0;0;1096;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;145;1400.0;5613.0;Apartamento
Apartamento;Ipanema;3;2;2;160;3500.0;14100.0;Apartamento
Conjunto Comercial/Sala;Flamengo;0;0;0;32;400.0;;Apartamento
Apartamento;Flamengo;1;1;0;48;580.0;2750.0;Apartamento
Apartamento;Leblon;2;1;1;87;1300.0;6461.0;Apartamento
Casa de Vila;Oswaldo Cruz;1;0;1;40;;;casa
Apartamento;Barra da Tijuca;3;1;1;105;1400.0;5400.0;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;3;0;404;;;Apartamento
Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;92.0;1938.0;casa
Conjunto Comercial/Sala;Centro;0;0;0;87;764.0;3898.0;Apartamento
Quitinete;Copacabana;1;0;0;30;370.0;1700.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;9;0;190;5503.0;16753.0;Apartamento
Conjunto Comercial/Sala;Leblon;0;0;0;6;;;Apartamento
Apartamento;Barra da Tijuca;3;1;1;80;1410.0;5180.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;375;6340.0;27439.0;Apartamento
Apartamento;Botafogo;3;1;1;102;1300.0;;Apartamento
Apartamento;Gávea;3;0;1;120;880.0;3818.0;Apartamento
Apartamento;Humaitá;2;2;1;112;1300.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;34;729.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;48;885.0;5765.0;Apartamento
Apartamento;Vila da Penha;2;0;0;60;160.0;1085.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;80;1100.0;9100.0;Apartamento
Apartamento;Lagoa;1;1;0;75;800.0;3810.0;Apartamento
Apartamento;Ipanema;3;1;1;125;2100.0;9563.0;Apartamento
Conjunto Comercial/Sala;Leblon;0;0;0;120;2400.0;23016.0;Apartamento
Prédio Inteiro;São Cristóvão;0;0;0;1408;;;Apartamento
Apartamento;Engenho Novo;2;0;0;53;460.0;1872.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;132;879.0;;Apartamento
Loft;Barra da Tijuca;1;1;1;78;1370.0;4258.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;1307.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;690.0;2540.0;Apartamento
Galpão/Depósito/Armazém;Campo Grande;0;3;0;300;;;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;2;200;1177.0;5097.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;500.0;;Apartamento
Galpão/Depósito/Armazém;Campo Grande;0;0;0;1000;;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;830.0;3486.0;Apartamento
Apartamento;Engenho Novo;1;1;0;63;625.0;1361.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;22;264.0;1147.0;Apartamento
Casa;Grajaú;5;4;2;450;;;casa
Apartamento;Barra da Tijuca;4;2;2;149;2130.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;106;780.0;3528.0;Apartamento
Conjunto Comercial/Sala;Botafogo;0;10;0;534;14850.0;;Apartamento
Apartamento;Anil;2;1;0;48;400.0;;Apartamento
Apartamento;Ipanema;4;1;2;250;2300.0;15350.0;Apartamento
Apartamento;Gávea;2;1;1;68;850.0;3736.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;75;1280.0;;Apartamento
Loja/Salão;Vila Valqueire;0;0;0;30;;;Apartamento
Apartamento;Ipanema;2;1;1;97;4000.0;15725.0;Apartamento
Casa de Condomínio;Vargem Grande;2;2;1;90;618.0;2656.0;casa
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;72;835.0;3630.0;Apartamento
Apartamento;Cachambi;3;0;0;70;200.0;1130.0;Apartamento
Quitinete;Leblon;1;0;0;30;560.0;2322.0;Apartamento
Apartamento;Copacabana;4;2;1;279;2025.0;5545.0;Apartamento
Casa;Tanque;2;1;0;59;170.0;;casa
Box/Garagem;Centro;0;1;0;0;;;Apartamento
