Tipo;Bairro;Quartos;Vagas;Suites;Area;Condominio;Valor Bruto;Tipos agregado
Conjunto Comercial/Sala;Centro;0;0;0;150;5453.0;15669.0;Apartamento
Apartamento;Ipanema;2;1;0;80;916.0;4716.0;Apartamento
Apartamento;Braz de Pina;2;0;0;40;160.0;;Apartamento
Apartamento;Jardim Botânico;2;2;1;74;1423.0;4624.0;Apartamento
Conjunto Comercial/Sala;Ipanema;0;0;0;68;966.0;7027.0;Apartamento
Apartamento;Méier;2;1;0;63;529.0;1663.0;Apartamento
Apartamento;Laranjeiras;3;0;0;80;330.0;2619.0;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;0;50;860.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;9;0;1096;18632.0;;Apartamento
Apartamento;Ipanema;4;2;1;200;1650.0;10400.0;Apartamento
Apartamento;Vila Isabel;2;1;0;87;503.0;2123.0;Apartamento
Conjunto Comercial/Sala;Copacabana;0;0;0;32;451.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;82;1220.0;3410.0;Apartamento
Casa de Condomínio;Barra da Tijuca;5;2;4;285;600.0;10600.0;casa
Apartamento;Gávea;1;1;0;50;810.0;3441.0;Apartamento
Apartamento;Copacabana;3;0;0;130;1384.0;;Apartamento
Quitinete;Copacabana;1;0;0;23;430.0;1655.0;Apartamento
Terreno Padrão;Anchieta;0;0;0;2900;;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;64;1750.0;4362.0;Apartamento
Apartamento;Leblon;3;1;1;100;1323.0;7066.0;Apartamento
Conjunto Comercial/Sala;Tijuca;0;0;0;29;533.0;1616.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;34;400.0;1184.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;1300.0;3315.0;Apartamento
Apartamento;Copacabana;5;2;2;389;3825.0;18618.0;Apartamento
Galpão/Depósito/Armazém;Guadalupe;0;0;0;19603;;;Apartamento
Apartamento;Barra da Tijuca;4;3;4;266;3700.0;19392.0;Apartamento
Loja/Salão;Taquara;0;1;0;6077;900.0;;Apartamento
Apartamento;Ipanema;2;1;1;86;;;Apartamento
Apartamento;Barra da Tijuca;4;3;1;170;2500.0;7064.0;Apartamento
Apartamento;Copacabana;2;0;0;65;829.0;3181.0;Apartamento
Apartamento;Ipanema;2;0;0;70;700.0;4950.0;Apartamento
Apartamento;Lagoa;4;4;4;310;4229.0;33937.0;Apartamento
Apartamento;Cachambi;2;1;0;45;381.0;1494.0;Apartamento
Apartamento;Taquara;3;1;1;85;720.0;2028.0;Apartamento
Apartamento;Centro;1;0;0;37;310.0;1531.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;112;1500.0;5211.0;Apartamento
Apartamento;Copacabana;3;2;1;170;1900.0;10400.0;Apartamento
Apartamento;Irajá;2;1;0;91;340.0;;Apartamento
Loja/Salão;Tijuca;0;0;0;105;;;Apartamento
Apartamento;Leblon;3;1;1;220;3300.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;103;1806.0;3487.0;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;25;320.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;75;1212.0;2464.0;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;4;420;1482.0;12482.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;85;1410.0;5175.0;Apartamento
Casa Comercial;Ipanema;0;0;0;280;;;Apartamento
Apartamento;Maracanã;2;1;1;50;520.0;;Apartamento
Apartamento;Ipanema;3;1;1;125;2000.0;8262.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;88;740.0;2483.0;Apartamento
Apartamento;Flamengo;3;2;1;150;1200.0;7450.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;38;553.0;1448.0;Apartamento
Casa;Braz de Pina;2;0;0;27;;;casa
Apartamento;Barra da Tijuca;2;1;1;71;490.0;2470.0;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;22;450.0;1497.0;Apartamento
Casa;Barra da Tijuca;4;0;2;400;2619.0;;casa
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;75;1200.0;;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;4;674;2100.0;29100.0;casa
Flat;Leblon;1;0;0;56;1800.0;;Apartamento
Apartamento;Barra da Tijuca;4;3;4;290;4000.0;16600.0;Apartamento
Apartamento;Cachambi;2;1;0;65;450.0;1664.0;Apartamento
Apartamento;Riachuelo;1;0;0;35;;;Apartamento
Apartamento;Centro;0;0;0;30;447.0;1272.0;Apartamento
Apartamento;Tijuca;3;1;1;115;1200.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;245;8570.0;29785.0;Apartamento
Apartamento;Leblon;2;1;0;70;1100.0;5500.0;Apartamento
Apartamento;Pechincha;3;2;1;108;798.0;2214.0;Apartamento
Apartamento;Ipanema;3;2;0;101;1700.0;5908.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;225;2800.0;13600.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;89;1450.0;3955.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;71;550.0;;Apartamento
Loja/Salão;Barra da Tijuca;0;2;0;200;1460.0;11500.0;Apartamento
Apartamento;Praça Seca;1;1;0;37;322.0;;Apartamento
Apartamento;Copacabana;1;0;0;35;;;Apartamento
Apartamento;Barra da Tijuca;4;3;4;227;2250.0;17619.0;Apartamento
Apartamento;Ipanema;3;1;1;130;1900.0;10900.0;Apartamento
Apartamento;Flamengo;3;1;1;250;1650.0;11233.0;Apartamento
Apartamento;Copacabana;3;1;3;270;2000.0;10524.0;Apartamento
Apartamento;Tijuca;3;1;0;56;520.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;225;5170.0;18223.0;Apartamento
Apartamento;Leblon;4;2;4;200;2710.0;12704.0;Apartamento
Apartamento;Bonsucesso;3;0;0;81;630.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;36;1100.0;2570.0;Apartamento
Apartamento;Méier;2;1;0;75;597.0;;Apartamento
Apartamento;Ipanema;3;2;1;120;3200.0;;Apartamento
Conjunto Comercial/Sala;Pechincha;0;1;0;28;390.0;;Apartamento
Quitinete;Copacabana;1;0;0;25;431.0;1561.0;Apartamento
Apartamento;Anil;4;2;1;149;1340.0;4646.0;Apartamento
