TagName,obs
MCLC_A03_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A03_C00_VAV22.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV01.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV02.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A11_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV01.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV02.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV03.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV04.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV05.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV06.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV07.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV08.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV09.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV10.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV11.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV12.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV13.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV14.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV15.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV16.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV17.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV18.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV19.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV20.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV21.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV22.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV23.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV24.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV25.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV26.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV27.SPVazao,ponto nescessario para air manager
MCLC_A10_C00_VAV28.SPVazao,ponto nescessario para air manager
MCLC_Pri_RExp01.confiabilidade,ponto nescessario para air manager
MCLC_A09_C00_VAV11.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV12.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV13.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV18.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV19.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV14.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV15.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV16.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV17.SPTemp,ponto nescessario para air manager
MCLC_A09_C00_VAV20.SPTemp,ponto nescessario para air manager
MCLC_D_ACom_QDNEAdm_M02.confiabilidade,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
MCLC_D_ACom_QDNEAdm_M02.consumo,"verificaÆo com analistas, os pontos desse medidor esta em todos os alarmes de eletrica, como um medidor de entrada"
